Player,GP,G,A,TP,PPG,PIM,POS,firstYear,lastYear,Awards,Cups,All-Star Games,HoF,shap_GP,shap_G,shap_A,shap_TP,shap_PPG,shap_PIM,shap_POS,shap_Awards,shap_Cups,shap_All-Star Games,BaseValue,FinalValue,HoF_Probability
Austin Watson,310,37,41,78,0.252,364,1,2012,2021,0,0,0,0,2.0788836,-0.698423,-1.1705326,-0.96137655,-2.6208212,-0.3531545,-0.6203059,-0.32531726,-1.1063981,-1.0407517,-4.187,-13.084081375122071,2.078044079250639e-06
Marc Chouinard,320,37,41,78,0.244,123,1,2000,2007,0,0,0,0,2.0667858,-0.698423,-1.1705326,-0.8677193,-2.6066692,-1.0569928,-0.6203059,-0.32531726,-1.06558,-1.0407517,-4.187,-13.639291488647462,1.1926978913270173e-06
Blair Stewart,229,34,44,78,0.341,326,1,1973,1980,0,0,0,0,2.2029974,-0.6252636,-1.1705326,-0.96137655,-1.6698428,-0.29775223,-0.6203059,-0.32531726,-1.1063981,-1.0407517,-4.187,-12.004541122436525,6.1163365795032375e-06
Gus Giesebrecht,135,27,51,78,0.578,13,1,1938,1942,0,0,0,0,2.1908996,-0.5162095,-1.1213766,-0.7975004,-1.8531393,-1.0569928,-0.6203059,-0.32531726,-1.1047469,-1.0407517,-4.187,-12.623340332031251,3.294211810878995e-06
Bill Brydge,368,26,52,78,0.212,506,2,1926,1936,0,0,0,0,1.9380122,-0.479929,-1.4366641,-1.0678134,-2.6029248,-0.17946753,1.3698165,-0.32531726,-1.0026953,-1.0546942,-4.187,-10.966688835144044,1.7267125878874184e-05
John McIntyre,351,24,54,78,0.222,516,1,1989,1995,0,0,0,0,1.9380122,-0.65796053,-1.229964,-0.95498264,-2.552598,-0.24895298,-0.6273039,-0.32531726,-1.1063981,-1.0407517,-4.187,-12.931229316711427,2.42123761357825e-06
Greg Theberge,153,15,63,78,0.51,73,2,1979,1984,0,0,0,0,2.1908996,-0.338178,-1.3280768,-0.910331,-2.0703537,-1.0495636,1.3515241,-0.32531726,-1.0010442,-1.0546942,-4.187,-10.913034164428712,1.8218875544805548e-05
George Owen,183,44,33,77,0.42100000000000004,151,2,1928,1933,0,1,0,0,2.1908996,-0.27927613,-1.3003216,-0.8707613,-0.6000538,-1.0760369,1.3515241,-0.32531726,-0.5468422,-1.0546942,-4.187,-8.888778888702394,0.0001379089591014787
Randy Rota,212,38,39,77,0.363,60,1,1972,1977,0,0,0,0,2.1908996,-0.6252636,-1.1705326,-0.8677193,-1.6556908,-1.0569928,-0.6203059,-0.32531726,-1.06558,-1.0407517,-4.187,-12.61515399169922,3.321289944507791e-06
Warren Rychel,406,38,39,77,0.19,1422,1,1988,1999,0,1,0,0,1.6803875,-0.7793386,-0.9026856,-0.9335502,-2.6786022,-0.7846422,-0.6208383,-0.32531726,-0.49850434,-1.3545173,-4.187,-13.064995491027833,2.1180862078888566e-06
