Player,GP,G,A,TP,PPG,PIM,POS,firstYear,lastYear,Awards,Cups,All_Star_Games,HoF,FinalValue,HoF_Probability
Vincent Lecavalier,1212,421,528,949,0.7829999999999999,848,1,1998,2016,1,1,4,0,-3.2844338054656985,0.03610907902398297
Chris Chelios,1651,185,763,948,0.574,2891,2,1983,2010,3,3,11,1,8.020422256469725,0.9996714267900965
Jason Spezza,1129,341,601,942,0.8340000000000001,576,1,2002,2021,0,0,2,0,-3.9047557051181796,0.01974803399176496
Jason Arnott,1244,417,521,938,0.754,1242,1,1993,2012,0,1,2,0,-6.198688470840454,0.0020279730080736435
Steve Thomas,1235,421,512,933,0.755,1306,1,1984,2004,0,0,0,0,-6.834358894348145,0.0010750001555221355
Brad Richards,1126,298,634,932,0.828,251,1,2000,2016,1,2,1,0,-6.622890674591065,0.0013278165553834568
Nicklas Backstrom,961,246,686,932,0.97,462,1,2007,2021,0,1,1,0,-2.719469987869263,0.06183420551827642
Neal Broten,1099,289,634,923,0.84,569,1,1980,1997,0,1,2,0,-5.1766444082260135,0.005615214739903022
Pavel Datsyuk,953,314,604,918,0.963,232,1,2001,2016,0,2,3,0,-3.5036136741638186,0.0292095854963499
Bobby Orr,657,270,645,915,1.393,953,2,1966,1979,17,2,7,1,8.339793479919432,0.9997612353628541
Gary Roberts,1225,438,472,910,0.743,2560,1,1986,2009,0,1,3,0,-10.601964199066163,2.486649940278764e-05
Scott Stevens,1635,196,712,908,0.555,2785,2,1982,2004,1,3,13,1,6.590673721313476,0.9986287683028214
Tony Amonte,1174,416,484,900,0.767,752,1,1990,2007,0,0,5,0,-4.921864711761475,0.0072328376780454685
Ray Ferraro,1258,408,490,898,0.7140000000000001,1288,1,1984,2002,0,0,1,0,-6.644316875457764,0.0012997056977299356
Brad Park,1113,213,683,896,0.805,1429,2,1968,1985,0,0,9,1,3.7286818389892575,0.9765391516441292
Peter Bondra,1081,503,389,892,0.825,761,1,1990,2007,0,0,5,0,-1.7422861690521243,0.14902278133024977
Butch Goring,1107,375,513,888,0.802,102,1,1969,1985,1,4,1,0,-1.8633834953308108,0.1343091652424952
Owen Nolan,1200,422,463,885,0.738,1793,1,1990,2010,0,0,5,0,-7.441751205444336,0.0005859141438614965
Peter Forsberg,708,249,636,885,1.25,688,1,1994,2011,3,2,5,1,3.434704578399658,0.9687717100730089
Bill Barber,903,420,463,883,0.978,623,1,1972,1984,0,2,6,1,0.6942675476074216,0.666915590614592
Dennis Maruk,888,356,522,878,0.9890000000000001,761,1,1975,1989,0,0,2,0,-2.012892210006714,0.117855954017652
Ilya Kovalchuk,926,443,433,876,0.946,544,1,2001,2020,1,0,3,0,-7.089671098709107,0.0008329770868868853
Patrice Bergeron,1093,353,519,872,0.7979999999999999,424,1,2003,2021,0,1,2,0,-7.116897785186768,0.0008106219739434948
Markus Naslund,1117,395,474,869,0.778,736,1,1993,2009,1,0,5,0,-3.82281919670105,0.021398175189381745
Cliff Ronning,1137,306,563,869,0.764,453,1,1985,2004,0,0,0,0,-8.657813751220704,0.0001737335941895028
Trevor Linden,1372,375,492,867,0.632,895,1,1988,2008,0,0,2,0,-7.118233406066895,0.000809540888906463
Ivan Boldirev,1052,361,505,866,0.823,507,1,1970,1985,0,1,1,0,-7.110079013824463,0.0008161637812298634
Phil Kessel,1071,375,490,865,0.8079999999999999,320,1,2006,2021,0,2,3,0,-6.489151203155518,0.001517532091163537
