Player,GP,G,A,TP,PPG,PIM,POS,firstYear,lastYear,Awards,Cups,All_Star_Games,HoF,FinalValue,HoF_Probability
Jesperi Kotkaniemi,120,18,27,45,0.375,51,1,2018,2021,0,0,0,0,-12.61515399169922,3.321289944507791e-06
Krzysztof Oliwa,410,17,28,45,0.11,1447,1,1996,2006,0,1,0,0,-13.821140968322755,9.943844218936251e-07
Brian Perry,96,16,29,45,0.469,24,1,1968,1971,0,0,0,0,-12.689295494079591,3.083952273084053e-06
Chris Wideman,181,16,29,45,0.249,104,2,2015,2019,0,0,0,0,-11.725332462310792,8.08628979216977e-06
Joel Kwiatkowski,282,16,29,45,0.16,245,2,2000,2008,0,0,0,0,-11.73078366470337,8.042330069942468e-06
Wayne Rivers,108,15,30,45,0.41700000000000004,94,1,1961,1969,0,0,0,0,-11.781922065734864,7.641400140111622e-06
Jared Cowen,249,15,31,45,0.18100000000000002,174,2,2009,2016,0,0,0,0,-11.725332462310792,8.08628979216977e-06
Craig Coxe,235,14,31,45,0.191,713,1,1984,1992,0,0,0,0,-11.650423252105714,8.71528682898078e-06
Neil Belland,109,13,32,45,0.413,54,2,1981,1987,0,0,0,0,-9.867963039398195,5.180546842562106e-05
Don McFadyen,179,12,33,45,0.251,77,1,1932,1936,0,1,0,0,-12.996535026550294,2.2681698282470024e-06
Barry Richter,151,11,34,45,0.298,76,2,1995,2001,0,0,0,0,-11.020841800689698,1.6356942095051816e-05
John Mariucci,223,11,34,45,0.20199999999999999,308,2,1940,1948,0,0,0,0,-11.673942768096925,8.512700945505985e-06
Petteri Nummelin,139,9,36,45,0.324,34,2,2000,2008,0,0,0,0,-11.020841800689698,1.6356942095051816e-05
Luc Dufour,167,23,21,44,0.263,199,1,1982,1985,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Janne Ojanen,98,21,23,44,0.449,28,1,1988,1993,0,0,0,0,-12.689295494079591,3.083952273084053e-06
Gaetano Orlando,98,18,26,44,0.449,51,1,1984,1987,0,0,0,0,-12.689295494079591,3.083952273084053e-06
Mark Lawrence,142,18,26,44,0.31,115,1,1994,2001,0,0,0,0,-12.934800827026368,2.41260558319777e-06
Pontus Aberg,132,17,27,44,0.33299999999999996,34,1,2015,2020,0,0,0,0,-12.61515399169922,3.321289944507791e-06
Linden Vey,138,14,30,44,0.319,24,1,2013,2017,0,0,0,0,-12.934800827026368,2.41260558319777e-06
Jean-Paul Leblanc,153,14,30,44,0.28800000000000003,87,1,1968,1979,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Rudolph Kampman,189,14,30,44,0.233,287,2,1937,1942,0,1,0,0,-11.031185829162599,1.618862022332089e-05
Nikita Gusev,70,13,31,44,0.629,12,1,2019,2021,0,0,0,0,-12.49115725708008,3.759739003907355e-06
Michel Briere,76,12,32,44,0.579,20,1,1969,1970,0,0,0,0,-12.623340332031251,3.294211810878995e-06
Mathieu Biron,253,12,32,44,0.174,177,2,1999,2006,0,0,0,0,-11.725332462310792,8.08628979216977e-06
Joe Vitale,234,11,33,44,0.188,156,1,2010,2017,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Jaroslav Bednar,117,10,34,44,0.376,34,1,2001,2004,0,0,0,0,-12.61515399169922,3.321289944507791e-06
Jonathan Girard,150,10,34,44,0.293,46,2,1998,2004,0,0,0,0,-11.725332462310792,8.08628979216977e-06
Rasmus Andersson,163,8,36,44,0.27,84,2,2016,2021,0,0,0,0,-11.725332462310792,8.08628979216977e-06
Christian Folin,244,8,36,44,0.18,120,2,2013,2020,0,0,0,0,-11.725332462310792,8.08628979216977e-06
Sheldon Brookbank,351,7,37,44,0.125,473,2,2006,2014,0,1,0,0,-10.493892395019532,2.7704378192175243e-05
Norm Barnes,156,6,38,44,0.282,178,2,1976,1982,0,0,1,0,-11.665954315185548,8.580976015631463e-06
Howard Riopelle,169,27,16,43,0.254,73,1,1947,1950,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Norm Larson,89,25,18,43,0.483,12,1,1940,1947,0,0,0,0,-12.82699366760254,2.6872388136687066e-06
Leo Bourgeault,307,23,20,43,0.14,334,2,1926,1935,0,1,0,0,-10.47196265411377,2.8318621302757037e-05
Darin Kimble,311,23,20,43,0.138,1082,1,1988,1995,0,0,0,0,-12.763239585876466,2.864139935151653e-06
Matt Johnson,473,23,20,43,0.091,1523,1,1994,2004,0,0,0,0,-14.509546958923341,4.995553378644284e-07
Rob Klinkhammer,193,22,21,43,0.223,64,1,2010,2016,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Zellio Toppazzini,123,21,22,43,0.35,49,1,1948,1957,0,0,0,0,-12.61515399169922,3.321289944507791e-06
Adam Cracknell,210,21,22,43,0.205,46,1,2010,2019,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Tom Wandell,229,20,23,43,0.188,52,1,2008,2013,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Joakim Lindstrom,150,19,24,43,0.287,58,1,2005,2015,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Chris Herperger,169,18,25,43,0.254,75,1,1999,2003,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Vyacheslav Butsayev,132,17,26,43,0.326,133,1,1992,2000,0,0,0,0,-12.934800827026368,2.41260558319777e-06
Tim Bergland,182,17,26,43,0.23600000000000002,75,1,1989,1994,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Jeff Daniels,425,17,26,43,0.10099999999999999,83,1,1990,2003,0,1,0,0,-13.122115814208986,2.00049118571029e-06
Mike Moller,134,15,28,43,0.321,41,1,1980,1987,0,0,0,0,-12.934800827026368,2.41260558319777e-06
Murray Brumwell,128,12,31,43,0.336,70,2,1980,1988,0,0,0,0,-10.70119496536255,2.251750653381175e-05
Blake Sloan,290,11,32,43,0.14800000000000002,162,2,1998,2004,0,1,0,0,-11.082575523376466,1.5377719202442408e-05
Doug Berry,121,10,33,43,0.355,25,1,1979,1981,0,0,0,0,-12.61515399169922,3.321289944507791e-06
Roger Johansson,161,9,34,43,0.267,163,2,1989,1995,0,0,0,0,-11.725332462310792,8.08628979216977e-06
Ted McAneeley,158,8,35,43,0.272,141,2,1972,1975,0,0,0,0,-11.725332462310792,8.08628979216977e-06
Ryan Murphy,175,8,35,43,0.24600000000000002,54,2,2012,2019,0,0,0,0,-11.725332462310792,8.08628979216977e-06
Bart Crashley,140,7,36,43,0.307,50,2,1965,1976,0,0,0,0,-11.020841800689698,1.6356942095051816e-05
Eric Gryba,289,7,36,43,0.149,368,2,2012,2019,0,0,0,0,-11.170121871948243,1.4088721690389242e-05
Simon Despres,193,6,37,43,0.223,150,2,2011,2017,0,0,0,0,-11.725332462310792,8.08628979216977e-06
John Grisdale,250,4,39,43,0.172,346,2,1972,1979,0,0,0,0,-11.170121871948243,1.4088721690389242e-05
Enver Lisin,135,24,18,42,0.311,64,1,2006,2010,0,0,0,0,-12.934800827026368,2.41260558319777e-06
Jaroslav Svejkovsky,113,23,19,42,0.3720000000000001,56,1,1996,2000,0,0,0,0,-12.61515399169922,3.321289944507791e-06
Tony Demers,83,20,22,42,0.506,23,1,1937,1944,0,0,0,0,-12.82699366760254,2.6872388136687066e-06
Reid Boucher,133,20,22,42,0.316,18,1,2013,2019,0,0,0,0,-12.934800827026368,2.41260558319777e-06
Krys Kolanos,149,20,22,42,0.282,94,1,2001,2012,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Daniel Vincelette,193,20,22,42,0.218,351,1,1986,1992,0,0,0,0,-13.084081375122071,2.078044079250639e-06
Jordan Schroeder,165,18,24,42,0.255,14,1,2012,2018,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Zac Rinaldo,370,18,24,42,0.114,753,1,2010,2020,0,0,0,0,-11.884089672088624,6.899258807241853e-06
Normand Leveille,75,17,25,42,0.56,49,1,1981,1983,0,0,0,0,-12.623340332031251,3.294211810878995e-06
Chris Lindberg,116,17,25,42,0.36200000000000004,47,1,1991,1994,0,0,0,0,-12.61515399169922,3.321289944507791e-06
George Swarbrick,132,17,25,42,0.318,173,1,1967,1971,0,0,0,0,-12.934800827026368,2.41260558319777e-06
Wilf Field,219,17,25,42,0.192,151,2,1936,1945,0,0,0,0,-11.725332462310792,8.08628979216977e-06
Brian Lavender,184,16,26,42,0.228,174,1,1971,1975,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Stan Drulia,126,15,27,42,0.33299999999999996,52,1,1992,2001,0,0,0,0,-12.61515399169922,3.321289944507791e-06
Brett Howden,140,15,27,42,0.3,42,1,2018,2021,0,0,0,0,-12.934800827026368,2.41260558319777e-06
Ladislav Kohn,186,14,28,42,0.226,125,1,1995,2003,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Larry Leach,126,13,29,42,0.33299999999999996,91,1,1958,1962,0,0,0,0,-12.61515399169922,3.321289944507791e-06
Elwyn Morris,135,13,29,42,0.311,58,2,1943,1949,0,1,0,0,-10.378084861755372,3.1105809112197226e-05
MacKenzie Weegar,174,13,29,42,0.24100000000000002,133,2,2016,2021,0,0,0,0,-11.725332462310792,8.08628979216977e-06
Peter Harrold,274,13,29,42,0.153,74,2,2006,2015,0,0,0,0,-11.725332462310792,8.08628979216977e-06
Robert Dirk,402,13,29,42,0.10400000000000001,772,2,1987,1996,0,0,0,0,-9.919548713684083,4.92009357257793e-05
Doug Lecuyer,126,11,31,42,0.33299999999999996,178,1,1978,1983,0,0,0,0,-12.61515399169922,3.321289944507791e-06
Robert Hagg,207,11,31,42,0.203,127,2,2016,2021,0,0,0,0,-11.725332462310792,8.08628979216977e-06
Eric Cairns,457,10,32,42,0.092,1182,2,1996,2008,0,0,0,0,-10.871188842773439,1.89974112066025e-05
Nathan Paetsch,167,7,35,42,0.251,114,2,2005,2010,0,0,0,0,-11.725332462310792,8.08628979216977e-06
Donald Dufresne,268,6,36,42,0.157,258,2,1988,1997,0,1,0,0,-11.088025772094728,1.529413607123897e-05
Larry Hale,196,5,37,42,0.214,90,2,1968,1972,0,0,0,0,-11.725332462310792,8.08628979216977e-06
Tom Tilley,174,4,38,42,0.24100000000000002,89,2,1988,1994,0,0,0,0,-11.725332462310792,8.08628979216977e-06
Louie DeBrusk,401,24,17,41,0.102,1161,1,1991,2003,0,0,0,0,-12.833045684814454,2.6710247549258173e-06
Dan Bolduc,102,22,19,41,0.402,33,1,1978,1984,0,0,0,0,-12.61515399169922,3.321289944507791e-06
Larry DePalma,148,21,20,41,0.27699999999999997,408,1,1985,1994,0,0,0,0,-13.076069557189943,2.09475982754488e-06
Petteri Nokelainen,245,20,21,41,0.16699999999999998,103,1,2005,2012,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Darcy Hordichuk,542,20,21,41,0.076,1140,1,2000,2013,0,0,0,0,-12.7756869430542,2.82871002503931e-06
Fabian Brunnstrom,104,19,22,41,0.39399999999999996,22,1,2008,2012,0,0,0,0,-12.61515399169922,3.321289944507791e-06
John Flesch,124,18,23,41,0.331,117,1,1974,1980,0,0,0,0,-12.61515399169922,3.321289944507791e-06
Dan Newman,126,17,24,41,0.325,63,1,1976,1980,0,0,0,0,-12.934800827026368,2.41260558319777e-06
Tom Miller,118,16,25,41,0.34700000000000003,34,1,1970,1975,0,0,0,0,-12.61515399169922,3.321289944507791e-06
Philippe Bozon,144,16,25,41,0.285,101,1,1991,1995,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Ken Doraty,103,15,26,41,0.39799999999999996,24,1,1926,1938,0,0,0,0,-12.61515399169922,3.321289944507791e-06
Mike Watt,157,15,26,41,0.261,41,1,1997,2003,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Charles Hudon,125,14,27,41,0.32799999999999996,56,1,2015,2020,0,0,0,0,-12.934800827026368,2.41260558319777e-06
Zack Stortini,257,14,27,41,0.16,725,1,2006,2012,0,0,0,0,-11.650423252105714,8.71528682898078e-06
Art Wiebe,414,14,27,41,0.099,201,2,1932,1944,0,1,0,0,-11.082575523376466,1.5377719202442408e-05
Fred Hucul,164,11,30,41,0.25,113,2,1950,1968,0,0,0,0,-11.725332462310792,8.08628979216977e-06
Jeff Jillson,140,9,32,41,0.293,96,2,2001,2006,0,0,0,0,-11.725332462310792,8.08628979216977e-06
Travis Dermott,163,9,32,41,0.252,71,2,2017,2021,0,0,0,0,-11.725332462310792,8.08628979216977e-06
Michael Volcan,162,8,33,41,0.253,146,2,1980,1984,0,0,0,0,-11.725332462310792,8.08628979216977e-06
John Blum,250,7,34,41,0.16399999999999998,610,2,1982,1990,0,0,0,0,-10.145585739135743,3.9247414546960594e-05
Allen Pedersen,428,5,36,41,0.096,487,2,1986,1994,0,0,0,0,-10.921724044799806,1.8061244444924465e-05
Greg Pateryn,272,4,37,41,0.151,164,2,2012,2021,0,0,0,0,-11.725332462310792,8.08628979216977e-06
Randy Holt,395,4,37,41,0.10400000000000001,1438,2,1974,1984,0,0,0,0,-12.650012695312501,3.20750910171073e-06
Jack McDonald,70,26,14,40,0.5710000000000001,30,1,1917,1922,0,0,0,0,-12.623340332031251,3.294211810878995e-06
Frank Ingram,101,24,16,40,0.396,69,1,1929,1932,0,0,0,0,-12.61515399169922,3.321289944507791e-06
Tyler Motte,193,24,16,40,0.207,48,1,2016,2021,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Andrew Murray,221,24,16,40,0.18100000000000002,36,1,2007,2013,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Robert Heron,106,21,19,40,0.377,38,1,1938,1942,0,0,0,0,-12.61515399169922,3.321289944507791e-06
John Brenneman,152,21,19,40,0.263,46,1,1964,1969,0,1,0,0,-12.996535026550294,2.2681698282470024e-06
Mike Zigomanis,197,21,19,40,0.203,89,1,2002,2011,0,1,0,0,-12.996535026550294,2.2681698282470024e-06
Joe Simpson,228,21,19,40,0.175,156,2,1925,1931,0,0,0,1,-11.725332462310792,8.08628979216977e-06
Edmond Bouchard,211,19,21,40,0.19,117,1,1921,1929,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Pyotr Schastlivy,129,18,22,40,0.31,30,1,1999,2004,0,0,0,0,-12.934800827026368,2.41260558319777e-06
Paul Runge,140,18,22,40,0.28600000000000003,57,1,1930,1938,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Jim Roberts,106,17,23,40,0.377,33,1,1976,1979,0,0,3,0,-11.22067042541504,1.339426644554395e-05
Ryan Bayda,179,16,24,40,0.223,94,1,2002,2009,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Gerry James,149,14,26,40,0.268,257,1,1954,1960,0,0,0,0,-13.644741737365724,1.1862150813955514e-06
Mark Greig,125,13,27,40,0.32,90,1,1990,2003,0,0,0,0,-12.934800827026368,2.41260558319777e-06
Red Goupille,222,12,28,40,0.18,256,2,1935,1943,0,0,0,0,-11.73078366470337,8.042330069942468e-06
Clare Martin,237,12,28,40,0.16899999999999998,78,2,1941,1952,0,1,0,0,-11.082575523376466,1.5377719202442408e-05
Brent Severyn,328,10,30,40,0.122,825,2,1989,1999,0,1,0,0,-9.259907447814943,9.515507703521396e-05
Steve Dykstra,217,8,32,40,0.184,545,2,1985,1990,0,0,0,0,-10.966688835144044,1.7267125878874184e-05
Bob Halkidis,256,8,32,40,0.156,825,2,1984,1996,0,0,0,0,-10.005671703338624,4.514112585491091e-05
Brian Curran,381,7,33,40,0.105,1361,2,1983,1994,0,0,0,0,-11.89386721801758,6.83213015976878e-06
Johnny McKinnon,208,28,11,39,0.188,224,2,1925,1931,0,0,0,0,-11.73078366470337,8.042330069942468e-06
John LeBlanc,83,26,13,39,0.47,28,1,1986,1995,0,0,0,0,-12.689295494079591,3.083952273084053e-06
William Carrier,208,21,18,39,0.188,112,1,2016,2021,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Steve Wojciechowski,54,19,20,39,0.722,17,1,1944,1947,0,0,0,0,-9.567556583404542,6.99572271718145e-05
Ken Solheim,135,19,20,39,0.289,34,1,1980,1986,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Martin Frk,117,18,21,39,0.33299999999999996,22,1,2016,2021,0,0,0,0,-12.61515399169922,3.321289944507791e-06
Martin Necas,75,17,22,39,0.52,22,1,2017,2021,0,0,0,0,-12.82699366760254,2.6872388136687066e-06
Casey Mittelstadt,114,17,22,39,0.342,14,1,2017,2021,0,0,0,0,-12.61515399169922,3.321289944507791e-06
Stu Grimson,729,17,22,39,0.053,2113,1,1988,2002,0,0,0,0,-14.463227951049806,5.232384893235111e-07
Ken Kilrea,88,16,23,39,0.44299999999999995,8,1,1938,1944,0,0,0,0,-12.689295494079591,3.083952273084053e-06
Mark Freer,124,16,23,39,0.315,61,1,1986,1994,0,0,0,0,-12.934800827026368,2.41260558319777e-06
Cam Stewart,202,16,23,39,0.193,120,1,1993,2001,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Darren Langdon,521,16,23,39,0.075,1251,1,1994,2006,0,0,0,0,-12.7756869430542,2.82871002503931e-06
Connie Brown,73,15,24,39,0.534,12,1,1938,1943,0,1,0,0,-12.133456909179689,5.376557353390248e-06
Dave Donnelly,137,15,24,39,0.285,150,1,1983,1988,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Tim Kennedy,162,15,24,39,0.24100000000000002,60,1,2008,2014,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Paul Evans,103,14,25,39,0.379,34,1,1978,1983,0,0,0,0,-12.61515399169922,3.321289944507791e-06
Ted Graham,346,14,25,39,0.113,300,2,1927,1937,0,0,0,0,-11.673942768096925,8.512700945505985e-06
Dale Henry,132,13,26,39,0.295,263,1,1984,1990,0,0,0,0,-13.644741737365724,1.1862150813955514e-06
Gary Shuchuk,142,13,26,39,0.275,70,1,1990,1996,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Andrew Hutchinson,140,12,27,39,0.27899999999999997,70,2,2003,2011,0,1,0,0,-11.082575523376466,1.5377719202442408e-05
Jean-Francois Jomphe,111,10,29,39,0.35100000000000003,102,1,1995,1999,0,0,0,0,-12.61515399169922,3.321289944507791e-06
Gord Smith,299,9,30,39,0.13,284,2,1974,1980,0,0,0,0,-11.673942768096925,8.512700945505985e-06
Dick Mattiussi,200,8,31,39,0.195,124,2,1967,1971,0,0,0,0,-11.725332462310792,8.08628979216977e-06
Madison Bowey,154,5,34,39,0.253,104,2,2017,2020,0,1,0,0,-11.082575523376466,1.5377719202442408e-05
Ryan OByrne,308,5,34,39,0.127,369,2,2007,2013,0,0,0,0,-11.170121871948243,1.4088721690389242e-05
Alex Biega,229,4,35,39,0.17,118,2,2014,2021,0,0,0,0,-11.725332462310792,8.08628979216977e-06
Bill Plager,263,4,35,39,0.14800000000000002,294,2,1967,1976,0,0,0,0,-11.673942768096925,8.512700945505985e-06
Alf Skinner,71,26,12,38,0.535,93,1,1917,1926,0,1,0,0,-12.133456909179689,5.376557353390248e-06
Chris Terry,152,22,16,38,0.25,34,1,2012,2017,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Dave Hindmarch,99,21,17,38,0.384,25,1,1980,1984,0,0,0,0,-12.61515399169922,3.321289944507791e-06
Des Roche,113,20,18,38,0.336,44,1,1930,1935,0,0,0,0,-12.61515399169922,3.321289944507791e-06
Clarence Abel,333,20,18,38,0.114,361,2,1926,1934,0,2,0,0,-9.421957695007325,8.092088417712596e-05
Earl Anderson,109,19,19,38,0.349,22,1,1974,1977,0,0,0,0,-12.61515399169922,3.321289944507791e-06
Jeremy Stevenson,207,19,19,38,0.184,451,1,1995,2006,0,0,0,0,-13.26881667327881,1.727529161301453e-06
Douglas Palazzari,108,18,20,38,0.35200000000000004,23,1,1974,1979,0,0,0,0,-12.61515399169922,3.321289944507791e-06
Joe Contini,68,17,21,38,0.5589999999999999,34,1,1977,1981,0,0,0,0,-12.623340332031251,3.294211810878995e-06
George Morrison,115,17,21,38,0.33,13,1,1970,1972,0,0,0,0,-12.934800827026368,2.41260558319777e-06
Johnny Pohl,115,17,21,38,0.33,24,1,2003,2008,0,0,0,0,-12.934800827026368,2.41260558319777e-06
Tony Featherstone,130,17,21,38,0.292,65,1,1969,1974,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Jesse Puljujarvi,145,17,21,38,0.262,42,1,2016,2021,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
David Nemirovsky,91,16,22,38,0.418,42,1,1995,1999,0,0,0,0,-11.445495330810548,1.0697440739725463e-05
Jean-Yves Leroux,220,16,22,38,0.17300000000000001,146,1,1996,2001,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Eric Nickulas,118,15,23,38,0.322,82,1,1998,2006,0,0,0,0,-12.934800827026368,2.41260558319777e-06
Jack McLean,67,14,24,38,0.5670000000000001,76,1,1942,1945,0,1,0,0,-11.980583869934083,6.264635607041269e-06
Austin Czarnik,121,13,25,38,0.314,20,1,2016,2021,0,0,0,0,-12.934800827026368,2.41260558319777e-06
Hugh Harris,60,12,26,38,0.633,17,1,1972,1973,0,0,0,0,-12.49115725708008,3.759739003907355e-06
T.J. Hensick,112,12,26,38,0.33899999999999997,18,1,2007,2011,0,0,0,0,-12.61515399169922,3.321289944507791e-06
Shane Prince,128,12,26,38,0.297,39,1,2014,2018,0,0,0,0,-12.934800827026368,2.41260558319777e-06
Konstantin Koltsov,144,12,26,38,0.264,50,1,2002,2006,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Zach Redmond,133,9,29,38,0.28600000000000003,50,2,2012,2018,0,0,0,0,-11.725332462310792,8.08628979216977e-06
Dalton Prout,264,7,31,38,0.14400000000000002,321,2,2011,2020,0,0,0,0,-11.114719593048097,1.4891283972786014e-05
Bud MacPherson,259,5,33,38,0.147,233,2,1948,1957,0,1,1,0,-11.028648101806642,1.6229754032081643e-05
Jamie Huscroft,352,5,33,38,0.10800000000000001,1065,2,1988,2000,0,0,0,0,-10.916153633117677,1.816213191620877e-05
Herb Drury,213,24,13,37,0.174,203,2,1925,1931,0,0,0,0,-11.725332462310792,8.08628979216977e-06
Dean Sylvester,96,21,16,37,0.385,32,1,1998,2001,0,0,0,0,-12.61515399169922,3.321289944507791e-06
Nikita Alexeyev,156,20,17,37,0.237,28,1,2001,2007,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Tim Stapleton,118,19,18,37,0.314,24,1,2008,2012,0,0,0,0,-12.934800827026368,2.41260558319777e-06
Lou Jankowski,127,19,18,37,0.29100000000000004,15,1,1950,1955,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Robert Sullivan,62,18,19,37,0.597,18,1,1982,1983,0,0,0,0,-12.468564712524415,3.8456475403213695e-06
David Pasin,76,18,19,37,0.48700000000000004,50,1,1985,1989,0,0,0,0,-12.82699366760254,2.6872388136687066e-06
Dan Johnson,121,18,19,37,0.306,24,1,1969,1972,0,0,0,0,-12.934800827026368,2.41260558319777e-06
Aaron Voros,162,18,19,37,0.228,395,1,2007,2011,0,0,0,0,-13.084081375122071,2.078044079250639e-06
Mike Lampman,96,17,20,37,0.385,34,1,1972,1977,0,0,0,0,-12.61515399169922,3.321289944507791e-06
Nathan LaFayette,187,17,20,37,0.198,103,1,1993,1999,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Vadim Sharifyanov,92,16,21,37,0.402,50,1,1996,2000,0,0,0,0,-12.61515399169922,3.321289944507791e-06
Michael Amadio,151,16,21,37,0.245,24,1,2017,2021,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Donald Laurence,79,15,22,37,0.46799999999999997,14,1,1978,1980,0,0,0,0,-12.689295494079591,3.083952273084053e-06
John Chad,80,15,22,37,0.46299999999999997,29,1,1939,1946,0,0,0,0,-12.689295494079591,3.083952273084053e-06
Mike Tomlak,141,15,22,37,0.262,103,1,1989,1994,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Ed Kryzanowski,237,15,22,37,0.156,65,2,1948,1953,0,0,0,0,-11.725332462310792,8.08628979216977e-06
Jeff Lazaro,102,14,23,37,0.363,114,1,1990,1993,0,0,0,0,-12.61515399169922,3.321289944507791e-06
Jackie McLeod,106,14,23,37,0.349,12,1,1949,1955,0,0,0,0,-12.61515399169922,3.321289944507791e-06
Nick Johnson,113,14,23,37,0.327,52,1,2009,2014,0,0,0,0,-12.934800827026368,2.41260558319777e-06
Scott Garland,91,13,24,37,0.40700000000000003,115,1,1975,1979,0,0,0,0,-12.61515399169922,3.321289944507791e-06
Dave Feamster,169,13,24,37,0.21899999999999997,154,2,1981,1985,0,0,0,0,-11.725332462310792,8.08628979216977e-06
Alexander Svitov,179,13,24,37,0.207,223,1,2002,2007,0,0,0,0,-13.644741737365724,1.1862150813955514e-06
Jacob de la Rose,229,13,24,37,0.162,77,1,2014,2021,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Rick Foley,67,11,26,37,0.552,180,2,1970,1974,0,0,0,0,-10.862254821777345,1.9167891627856923e-05
Hannu Jarvenpaa,114,11,26,37,0.325,83,1,1986,1989,0,0,0,0,-12.934800827026368,2.41260558319777e-06
Maitland Conn,96,9,28,37,0.385,22,1,1933,1935,0,0,0,0,-12.61515399169922,3.321289944507791e-06
Bob Hassard,126,9,28,37,0.294,22,1,1949,1955,0,1,0,0,-12.996535026550294,2.2681698282470024e-06
Philip Larsen,151,9,28,37,0.245,46,2,2009,2017,0,0,0,0,-11.725332462310792,8.08628979216977e-06
Garth Boesch,197,9,28,37,0.188,205,2,1946,1950,0,3,2,0,-8.192975723266603,0.0002765131236580756
Vladimir Vujtek,110,7,30,37,0.336,38,1,1991,2003,0,0,0,0,-12.61515399169922,3.321289944507791e-06
Miles Zaharko,129,5,32,37,0.287,84,2,1977,1982,0,0,0,0,-11.725332462310792,8.08628979216977e-06
Paul Curtis,185,3,34,37,0.2,161,2,1969,1973,0,0,0,0,-11.725332462310792,8.08628979216977e-06
Gord Fraser,144,24,12,36,0.25,224,2,1926,1931,0,1,0,0,-11.088025772094728,1.529413607123897e-05
Kraig Nienhuis,87,20,16,36,0.414,39,1,1985,1988,0,0,0,0,-11.781922065734864,7.641400140111622e-06
Church Russell,90,20,16,36,0.4,12,1,1945,1948,0,0,0,0,-12.61515399169922,3.321289944507791e-06
Brent Grieve,97,20,16,36,0.371,87,1,1993,1997,0,0,0,0,-12.61515399169922,3.321289944507791e-06
Brad Gassoff,122,19,17,36,0.295,163,1,1975,1979,0,0,0,0,-13.639291488647462,1.1926978913270173e-06
Brendan Lemieux,135,19,17,36,0.267,244,1,2017,2021,0,0,0,0,-13.644741737365724,1.1862150813955514e-06
Mike Brown,407,19,17,36,0.08800000000000001,778,1,2007,2016,0,0,0,0,-11.884089672088624,6.899258807241853e-06
Mike Millar,78,18,18,36,0.462,12,1,1986,1991,0,0,0,0,-12.689295494079591,3.083952273084053e-06
Zach Aston-Reese,116,18,18,36,0.31,56,1,2017,2021,0,0,0,0,-12.934800827026368,2.41260558319777e-06
Reid Simpson,301,18,18,36,0.12,838,1,1991,2004,0,0,0,0,-11.85275860977173,7.118840274249656e-06
George Parros,474,18,18,36,0.076,1092,1,2005,2014,0,1,0,0,-11.960117065429689,6.39417294535536e-06
George Boothman,58,17,19,36,0.621,18,1,1942,1944,0,0,0,0,-12.49115725708008,3.759739003907355e-06
Teodors Blugers,102,17,19,36,0.353,40,1,2018,2021,0,0,0,0,-12.61515399169922,3.321289944507791e-06
Daniel Carr,111,16,20,36,0.324,26,1,2015,2021,0,0,0,0,-12.934800827026368,2.41260558319777e-06
Ed Hoekstra,70,15,21,36,0.514,6,1,1967,1968,0,0,0,0,-12.82699366760254,2.6872388136687066e-06
Brian Ogilvie,90,15,21,36,0.4,29,1,1972,1979,0,0,0,0,-12.61515399169922,3.321289944507791e-06
