playerID,firstName,lastName,HOF,year_first,year_last,seasons,GP,G,A,Pts,PIM,+/-,PPG,PPA,SHG,SHA,GWG,GTG,SOG,PostGP,PostG,PostA,PostPts,PostPIM,Post+/-,PostPPG,PostPPA,PostSHG,PostSHA,PostGWG,PostSOG
nedvepe01,Petr,Nedved,0,1990,2006,17,982,310,407,717,708,-21,80,129,13,8,39,5,2207,71,19,23,42,64,-13,7,3,1,0,2,154
nedvezd01,Zdenek,Nedved,0,1994,1996,3,31,4,6,10,14,3,1,2,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
needhmi01,Mike,Needham,0,1991,1993,3,86,9,5,14,16,-3,0,1,0,0,3,0,58,14,2,0,2,4,1,0,0,0,0,0,3
neelybo01,Bob,Neely,0,1973,1977,5,283,39,59,98,266,-77,8,0,0,0,6,2,450,26,5,7,12,15,0,3,0,0,0,0,0
neelyca01,Cam,Neely,1,1983,1995,13,726,395,299,694,1241,82,142,61,1,1,61,4,2148,93,57,32,89,168,-9,25,8,1,0,11,291
negrijo01,John,Negrin,0,2008,2008,1,3,0,1,1,2,-2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
neilch01,Chris,Neil,0,2001,2011,11,731,90,110,200,1861,0,15,12,0,0,9,0,928,81,9,6,15,153,2,1,1,0,0,1,86
neilsji01,Jim,Neilson,0,1962,1977,16,1023,69,299,368,904,64,14,0,1,0,11,3,1481,65,1,17,18,61,0,0,0,0,0,0,0
nelsogo01,Gordie,Nelson,0,1969,1969,1,3,0,0,0,11,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
nelsoje01,Jeff,Nelson,0,1994,1998,5,52,3,8,11,20,0,0,0,0,0,0,0,33,3,0,0,0,4,0,0,0,0,0,0,2
nelsoto01,Todd,Nelson,0,1991,1993,3,3,1,0,1,2,1,1,0,0,0,1,0,1,4,0,0,0,0,-1,0,0,0,0,0,0
nemchse01,Sergei,Nemchinov,0,1991,2001,11,761,152,193,345,251,52,12,17,3,7,27,0,1036,105,11,20,31,24,3,1,1,0,3,1,114
nemecja01,Jan,Nemecek,0,1998,1999,2,7,1,0,1,4,-1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0
nemetst01,Steve,Nemeth,0,1987,1987,1,12,2,0,2,2,-4,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
nemirda01,David,Nemirovsky,0,1995,1998,4,91,16,22,38,42,-2,3,6,0,0,1,1,123,3,1,0,1,0,-2,0,0,0,0,0,4
nemisgr01,Greg,Nemisz,0,2010,2011,2,15,0,1,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
nessaa01,Aaron,Ness,0,2011,2011,1,9,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
nesteer01,Eric,Nesterenko,0,1951,1971,21,1219,250,324,574,1273,45,11,0,17,0,14,7,404,124,13,24,37,127,0,0,0,0,0,1,0
nethela01,Lance,Nethery,0,1980,1981,2,41,11,14,25,14,0,2,0,0,0,0,2,52,14,5,3,8,9,0,0,0,0,0,1,0
neufera01,Ray,Neufeld,0,1979,1989,11,595,157,200,357,816,-163,46,8,0,0,16,6,1076,28,8,6,14,55,-1,2,0,0,0,1,39
neuvimi01,Michal,Neuvirth,0,2008,2011,4,108,0,1,1,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
nevilmi01,Mike,Neville,0,1924,1930,7,65,5,5,10,14,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
nevinbo01,Bob,Nevin,0,1957,1975,19,1128,307,419,726,211,85,55,0,8,0,39,15,1289,84,16,18,34,24,0,2,0,0,0,4,0
newbejo01,John,Newberry,0,1982,1985,4,22,0,4,4,6,-1,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0
newbukr01,Kris,Newbury,0,2006,2011,6,66,4,4,8,123,-4,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0
newelri01,Rick,Newell,0,1972,1973,2,6,0,0,0,0,-2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
newmada01,Dan,Newman,0,1976,1979,4,126,17,24,41,63,-17,0,0,0,0,2,0,173,3,0,0,0,4,0,0,0,0,0,0,0
newmajo01,John,Newman,0,1930,1930,1,8,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
newtoca01,Cam,Newton,0,1970,1972,3,16,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nichoal01,Al,Nicholson,0,1955,1956,2,19,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nichobe01,Bernie,Nicholls,0,1981,1998,18,1127,475,734,1209,1292,-38,152,164,28,12,35,11,3231,118,42,72,114,164,-4,16,29,1,1,4,274
nichoed01,Ed,Nicholson,0,1947,1947,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nichohi01,Hickey,Nicholson,0,1937,1937,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nichone01,Neil,Nicholson,0,1969,1977,9,39,3,1,4,23,-18,0,0,0,0,0,0,55,2,0,0,0,0,0,0,0,0,0,0,0
nichopa01,Paul,Nicholson,0,1974,1976,3,62,4,8,12,18,-39,0,0,0,0,1,0,72,0,0,0,0,0,0,0,0,0,0,0,0
nichosc01,Scott,Nichol,0,1995,2011,17,632,55,71,126,891,-18,3,5,7,6,4,0,690,49,1,2,3,76,-12,0,0,0,0,0,43
nickuer01,Eric,Nickulas,0,1998,2005,8,118,15,23,38,82,-11,2,5,0,0,1,0,172,1,0,0,0,2,0,0,0,0,0,0,0
nicolgr01,Graeme,Nicolson,0,1978,1982,5,52,2,7,9,60,-21,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0
nieckba01,Barry,Nieckar,0,1992,1997,6,8,0,0,0,21,-2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
niedeni01,Nino,Niederreiter,0,2010,2011,2,64,2,1,3,20,-30,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0
niedero01,Rob,Niedermayer,0,1993,2010,18,1153,186,283,469,904,-123,48,76,8,5,29,4,1813,116,18,25,43,111,-7,4,3,3,0,3,184
niedesc01,Scott,Niedermayer,0,1991,2009,19,1263,172,568,740,784,167,90,245,1,16,39,2,2436,202,25,73,98,155,20,12,29,3,1,8,411
niekaji01,Jim,Niekamp,0,1970,1971,2,29,0,2,2,37,-17,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
nielsch01,Chris,Nielsen,0,2000,2001,2,52,6,8,14,8,1,0,0,0,0,2,1,64,0,0,0,0,0,0,0,0,0,0,0,0
nielsfr01,Frans,Nielsen,0,2006,2011,6,319,54,113,167,68,9,8,39,9,3,6,0,559,0,0,0,0,0,0,0,0,0,0,0,0
nielsje01,Jeff,Nielsen,0,1996,2000,5,252,20,27,47,70,-26,2,0,0,1,3,0,326,4,0,0,0,2,-6,0,0,0,0,0,7
nielski01,Kirk,Nielsen,0,1997,1997,1,6,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
niemian01,Antti-Jussi,Niemi,0,2000,2001,2,29,1,1,2,22,-7,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
niemian02,Antti,Niemi,0,2008,2011,4,170,0,2,2,4,0,0,1,0,0,0,0,0,45,0,0,0,2,0,0,0,0,0,0,0
niemivi01,Ville,Nieminen,0,1999,2006,8,385,48,69,117,333,-28,4,15,3,1,12,1,479,58,8,12,20,99,-2,4,2,0,0,1,98
nienhkr01,Kraig,Nienhuis,0,1985,1987,3,87,20,16,36,39,-16,5,0,0,0,2,1,149,2,0,0,0,14,-4,0,0,0,0,0,2
nieuwjo01,Joe,Nieuwendyk,1,1986,2006,21,1257,564,562,1126,677,155,215,204,12,2,93,8,3242,158,66,50,116,91,-5,23,13,0,0,14,394
nighbfr01,Frank,Nighbor,1,1917,1929,13,349,139,98,237,249,0,0,0,0,0,2,0,0,20,4,9,13,13,0,0,0,0,0,0,0
nigrofr01,Frank,Nigro,0,1982,1983,2,68,8,18,26,39,-5,1,0,0,0,0,0,95,3,0,0,0,2,0,0,0,0,0,0,0
niinija01,Janne,Niinimaa,0,1996,2006,11,741,54,265,319,733,43,25,124,3,7,10,0,1067,59,3,21,24,60,-2,2,9,0,0,3,114
niittan01,Antero,Niittymaki,0,2003,2010,8,234,0,3,3,6,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
nikitni01,Nikita,Nikitin,0,2010,2011,2,102,8,33,41,28,-9,3,10,0,1,3,0,149,0,0,0,0,0,0,0,0,0,0,0,0
nikolan01,Andrei,Nikolishin,0,1994,2003,10,628,93,187,280,270,23,13,43,6,6,9,1,929,43,1,17,18,22,-5,1,9,0,1,0,52
nikulal01,Alexander,Nikulin,0,2007,2008,2,3,0,0,0,0,-3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
nikulig01,Igor,Nikulin,0,1996,1996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
nilanch01,Chris,Nilan,0,1979,1991,13,688,110,115,225,3043,-7,7,0,0,0,11,0,820,111,8,9,17,531,-3,2,0,0,0,1,116
nillji01,Jim,Nill,0,1981,1989,9,524,58,87,145,854,-66,4,0,4,0,7,2,375,59,10,5,15,203,-8,1,0,1,0,1,22
nilsoma01,Marcus,Nilson,0,1998,2007,10,521,67,101,168,270,5,17,24,3,2,11,1,820,34,4,7,11,14,-3,0,1,0,0,1,44
nilssan01,Anders,Nilsson,0,2011,2011,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nilsske01,Kent,Nilsson,0,1979,1994,16,553,264,422,686,116,-20,97,0,16,0,28,8,1374,59,11,41,52,14,11,3,0,0,0,0,62
nilssro01,Robert,Nilsson,0,2005,2009,5,252,37,81,118,90,-15,11,23,0,0,3,0,361,0,0,0,0,0,0,0,0,0,0,0,0
nilssul01,Ulf,Nilsson,0,1978,1982,5,170,57,112,169,85,28,14,0,2,0,10,2,257,25,8,14,22,27,0,3,0,0,0,1,0
niskaja01,Janne,Niskala,0,2008,2008,1,6,1,2,3,6,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
