Player,GP,G,A,TP,PPG,PIM,POS,firstYear,lastYear,Awards,Cups,All-Star Games,HoF
Tomas Holmstrom,1027,243,287,530,0.516,763,1,1996,2012,0,4,0,0
Guy Charron,734,221,309,530,0.722,185,1,1969,1981,0,0,1,0
Dave Poulin,724,205,325,530,0.732,482,1,1982,1995,0,0,2,0
Ron Stewart,1353,276,253,529,0.391,560,1,1952,1973,0,3,4,0
Camille Henry,719,279,249,528,0.7340000000000001,96,1,1953,1970,1,0,3,0
Joe Murphy,779,233,295,528,0.6779999999999999,710,1,1986,2001,0,1,0,0
Bryan McCabe,1135,145,383,528,0.465,1732,2,1995,2011,0,0,0,0
Doug Bodger,1071,106,422,528,0.493,1007,2,1984,2000,0,0,0,0
Lucien Deblois,993,249,276,525,0.529,814,1,1977,1992,0,0,0,0
Derek Roy,738,189,335,524,0.71,391,1,2003,2015,0,0,0,0
Jean-Pierre Dumont,822,214,309,523,0.636,364,1,1998,2011,0,0,0,0
Mike Rogers,484,202,317,519,1.072,184,1,1979,1986,0,0,1,0
Tim Horton,1446,115,403,518,0.358,1611,2,1949,1974,0,4,7,1
Alexander Syomin,650,239,278,517,0.795,582,1,2003,2016,0,0,0,0
Ron Schock,909,166,351,517,0.569,260,1,1963,1978,0,0,0,0
Yanic Perreault,859,247,269,516,0.601,392,1,1993,2008,0,0,1,0
Jeff Friesen,893,218,298,516,0.578,488,1,1994,2007,0,1,0,0
Aaron Broten,748,186,329,515,0.6890000000000001,441,1,1980,1992,0,0,0,0
Brian Rafalski,833,79,436,515,0.618,282,2,1999,2011,0,3,2,0
Jere Lehtinen,875,243,271,514,0.5870000000000001,210,1,1995,2010,0,1,1,0
Bob Murray,1008,132,382,514,0.51,873,2,1975,1990,0,0,2,0
Tiger Williams,962,241,272,513,0.5329999999999999,3966,1,1974,1988,0,0,1,0
Bob Nystrom,900,235,278,513,0.57,1248,1,1972,1986,0,4,1,0
Shawn Horcoff,1008,186,325,511,0.507,624,1,2000,2016,0,0,1,0
Pat Flatley,780,170,340,510,0.654,686,1,1983,1997,0,0,0,0
Donald Audette,735,260,249,509,0.693,584,1,1989,2004,0,0,1,0
Mark Johnson,669,203,305,508,0.759,260,1,1979,1990,0,0,1,0
Joel Otto,943,195,313,508,0.539,1934,1,1984,1998,0,1,0,0
Darryl Sydor,1291,98,409,507,0.393,755,2,1991,2010,0,2,2,0
Lynn Libett,982,237,268,505,0.514,472,1,1967,1981,0,0,1,0
Brad Boyes,822,211,294,505,0.614,251,1,2003,2016,0,0,0,0
Brian Bradley,651,182,321,503,0.773,528,1,1985,1998,0,0,2,0
Dennis Hextall,681,153,350,503,0.7390000000000001,1398,1,1967,1980,0,0,2,0
Bob Gainey,1160,239,262,501,0.4320000000000001,585,1,1973,1989,1,5,4,1
Valeri Kamensky,637,200,301,501,0.7859999999999999,383,1,1991,2002,0,1,1,0
Greg Malone,704,191,310,501,0.7120000000000001,661,1,1976,1987,0,0,0,0
Ed Jovanovski,1128,137,363,500,0.443,1491,2,1995,2014,0,0,5,0
Gregg Sheppard,657,205,293,498,0.758,243,1,1972,1982,0,0,1,0
Todd Marchant,1195,186,312,498,0.417,774,1,1993,2011,0,1,0,0
Pierre Pilote,890,80,418,498,0.56,1251,2,1955,1969,3,1,8,1
Craig Simpson,634,247,250,497,0.784,659,1,1985,1995,0,2,0,0
Radek Bonk,969,194,303,497,0.513,581,1,1994,2009,0,0,2,0
Jeff O'Neill,821,237,259,496,0.604,670,1,1995,2007,0,0,1,0
Al Secord,766,273,222,495,0.6459999999999999,2095,1,1978,1990,0,0,2,0
Sylvain Turgeon,669,269,226,495,0.74,691,1,1983,1995,0,0,1,0
Darcy Rota,794,256,239,495,0.623,973,1,1973,1984,0,0,1,0
Lubomir Visnovsky,883,128,367,495,0.561,373,2,2000,2015,0,0,0,0
Keith Crowder,662,223,271,494,0.746,1344,1,1980,1990,0,0,0,0
Tony Granato,773,248,244,492,0.636,1425,1,1988,2001,0,0,1,0
Andre Boudrias,662,151,340,491,0.742,214,1,1963,1976,0,0,1,0
Dirk Graham,772,219,270,489,0.633,917,1,1983,1995,0,0,0,0
Andy McDonald,685,182,307,489,0.7140000000000001,280,1,2000,2013,0,1,1,0
Steve Rucchin,735,171,318,489,0.665,164,1,1994,2007,0,0,0,0
Nelson Emerson,771,195,293,488,0.633,575,1,1990,2002,0,0,0,0
Marco Sturm,938,242,245,487,0.519,446,1,1997,2012,0,0,1,0
Mike Richards,749,181,306,487,0.65,585,1,2005,2016,0,2,1,0
Jason Blake,871,213,273,486,0.5579999999999999,455,1,1998,2012,0,0,1,0
Bruce Driver,922,96,390,486,0.527,670,2,1983,1998,0,1,0,0
Jason Allison,552,154,331,485,0.879,441,1,1993,2006,0,0,1,0
Michael Ryder,806,237,247,484,0.6,353,1,2003,2015,0,1,0,0
Don Marcotte,868,230,254,484,0.5579999999999999,317,1,1965,1982,0,2,0,0
Claude Larose,943,226,257,483,0.512,889,1,1962,1978,0,5,4,0
Michal Handzus,1010,185,298,483,0.478,498,1,1998,2014,0,1,0,0
Andre Savard,790,211,271,482,0.61,411,1,1973,1985,0,0,0,0
